MALZEME;TYPE;Category;;;;;;
RM0001;010104 - Chemicals;Chemical;;;;;Chemical;81
RM0002;010104 - Chemicals;Chemical;;;;;Carbon Black;16
RM0003;010104 - Chemicals;Chemical;;;;;Bead;4
RM0004;010104 - Chemicals;Chemical;;;;;Metallic Reinforc.;25
RM0005;010104 - Chemicals;Chemical;;;;;Natural Rubber;10
RM0006;010104 - Chemicals;Chemical;;;;;Synthetic Rubber;19
RM0007;010104 - Chemicals;Chemical;;;;;Textile Reinforc.;17
RM0008;010104 - Chemicals;Chemical;;;;;;
RM0009;010103 - Carbon Black;Carbon Black;;;;;;
RM0010;010103 - Carbon Black;Carbon Black;;;;;;
RM0011;010103 - Carbon Black;Carbon Black;;;;;;
RM0012;010103 - Carbon Black;Carbon Black;;;;;;
RM0013;010103 - Carbon Black;Carbon Black;;;;;;
RM0014;010103 - Carbon Black;Carbon Black;;;;;;
RM0015;010103 - Carbon Black;Carbon Black;;;;;;
RM0016;010103 - Carbon Black;Carbon Black;;;;;;
RM0017;010103 - Carbon Black;Carbon Black;;;;;;
RM0018;010103 - Carbon Black;Carbon Black;;;;;;
RM0019;010103 - Carbon Black;Carbon Black;;;;;;
RM0020;010103 - Carbon Black;Carbon Black;;;;;;
RM0021;010103 - Carbon Black;Carbon Black;;;;;;
RM0022;010103 - Carbon Black;Carbon Black;;;;;;
RM0023;010103 - Carbon Black;Carbon Black;;;;;;
RM0024;010103 - Carbon Black;Carbon Black;;;;;;
RM0025;010106 - Bead;Bead;;;;;;
RM0026;010106 - Bead;Bead;;;;;;
RM0027;010106 - Bead;Bead;;;;;;
RM0028;010106 - Bead;Bead;;;;;;
RM0029;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
RM0030;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
RM0031;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
RM0032;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
RM0033;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
RM0034;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
RM0035;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
RM0036;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
RM0037;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
RM0038;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
RM0039;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
RM0040;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
RM0041;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
RM0042;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
RM0043;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
RM0044;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
RM0045;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
RM0046;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
RM0047;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
RM0048;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
RM0049;010106 - Metallic reinforc.;Metallic Reinforc.;;;;;;
